address,sbl_long,sbl_short,sale_price,sale_date,assessment,prop_type,lot_size,yr_blt,sqft,bedrooms,baths,fireplaces
"12 PARKER, Buffalo",0892800005033000,89.28-5-33,"$70,000",5/31/2006,"$207,000",Residential - 3 Family ResOld style,43 x 110,1900,"2,232",3,3,0
"18 PARKER, Buffalo",0892800005031000,89.28-5-31,"$85,000",5/31/2006,"$211,000",Residential - 2 Family ResOld style,33 x 106,1900,"2,564",6,2,0
"38 SPRENGER, Buffalo",1015000004011000,101.50-4-11,"$57,446",5/31/2006,"$41,000",Residential - 1 Family ResOld style,40 x 174,1928,"1,320",3,1,0
"16 PARKER, Buffalo",0892800005032000,89.28-5-32,"$71,435",5/31/2006,"$120,000",Commercial - Office bldg. ,33 x 0,,,,,
"89 EDEN, Buffalo",1337100004018000,133.71-4-18,"$97,850",5/31/2006,"$118,000",Residential - 1 Family ResCape cod,44 x 131,1952,"1,722",4,1,1
"235 SARANAC, Buffalo",0785700003020000,78.57-3-20,"$98,000",5/31/2006,"$206,000",Commercial - Apartment ,35 x 175,,,,,
"789 POTOMAC, Buffalo",0897100002005000,89.71-2-5,"$161,500",5/31/2006,"$303,000",Residential - 2 Family ResOld style,34 x 110,1910,"2,850",6,2,0
"312 PARKRIDGE, Buffalo",0797900008018000,79.79-8-18,"$65,000",5/31/2006,"$55,000",Residential - 1 Family ResOld style,35 x 102,1928,"1,365",4,1,0
"620 BABCOCK, Buffalo",1121700001007120,112.17-1-7.12,"$80,000",5/31/2006,"$250,000",Commercial - Other Storage ,262.11 x 850,,,,,
"118 ROSS, Buffalo",0774900003013000,77.49-3-13,"$70,500",5/30/2006,"$105,000",Residential - 2 Family ResOld style,32 x 110,1930,"1,896",4,2,0
"404 GOETHE, Buffalo",1122700004031100,112.27-4-31.1,"$78,440",5/30/2006,"$74,000",Residential - 1 Family ResOld style,60 x 129,1949,"2,060",4,1.5,1
"1237 DELAWARE, Buffalo",1003100001035000,100.31-1-35,"$400,000",5/30/2006,"$425,000",Commercial - Prof. bldg. ,52 x 299.73,,,,,
"128 DREXEL, Buffalo",0905300002034000,90.53-2-34,"$42,500",5/30/2006,"$66,000",Residential - 2 Family ResOld style,36 x 110,1870,"2,206",4,2,0
"134 ROANOKE, Buffalo",1236500002034000,123.65-2-34,"$93,000",5/26/2006,"$106,000",Residential - 2 Family ResOld style,35 x 122,1910,"2,552",4,2,0
"234 BEDFORD, Buffalo",0892200005019000,89.22-5-19,"$155,500",5/26/2006,"$256,000",Residential - 1 Family ResOld style,39 x 132,1920,"1,794",4,1.5,1
