address,sbl_long,sbl_short,sale_price,sale_date,assessment,prop_type,lot_size,yr_blt,sqft,bedrooms,baths,fireplaces
"56 PEACH, Buffalo",1112500002009000,111.25-2-9,"$16,500",6/26/2019,"$3,300",Vacant Land - Res vac land ,25 x 100,,,,,
"47 FLOSS, Buffalo",1012600006021000,101.26-6-21,"$50,000",6/25/2019,"$37,000",Residential - 1 Family ResOld style,30 x 101,1915,"1,380",4,1,0
"69 DEPEW EAST, Buffalo",0902100004010000,90.21-4-10,"$210,000",6/25/2019,"$90,000",Residential - 2 Family ResOld style,40 x 128,1927,"2,314",4,2,0
"67 LUDINGTON, Buffalo",1125700001016000,112.57-1-16,"$47,000",6/24/2019,"$42,000",Residential - 1 Family ResOld style,30 x 125,1930,"1,496",3,1,0
"81 WEBER, Buffalo",0908300001046000,90.83-1-46,"$87,000",6/24/2019,"$47,000",Residential - 2 Family ResOld style,35 x 133,1930,"1,852",5,2,0
"1658 CLINTON, Buffalo",1233200003002000,123.32-3-2,"$40,000",6/21/2019,"$49,000",Residential - 1 Family ResRanch,62.2 x 0,1915,557,1,1,0
"309 NORTH ST, Buffalo",100690000601100045,100.69-6-11./45,"$148,000",6/21/2019,"$81,000",Commercial - ApartmentOther style,4 x 630,1950,960,1,1,0
"900 DELAWARE, Buffalo",1005400002022000102,100.54-2-22./102,"$286,000",6/21/2019,"$116,000",Commercial - ApartmentOther style,7 x 210.39,1988,"1,059",2,2,0
"349 DARTMOUTH, Buffalo",0798100008013000,79.81-8-13,"$58,000",6/21/2019,"$46,000",Residential - 1 Family ResOld style,30 x 108,1925,"1,182",3,1,0
"68 HOMER, Buffalo",0786300003008000,78.63-3-8,"$168,000",6/21/2019,"$183,000",Residential - 1 Family ResOld style,35 x 150,1920,"1,820",3,1,0
"89 WEISS, Buffalo",1234100005034000,123.41-5-34,"$50,000",6/21/2019,"$52,000",Residential - 2 Family ResOld style,30 x 100,1900,"1,500",3,2,0
"259 DARTMOUTH, Buffalo",0798000003020000,79.80-3-20,"$70,000",6/21/2019,"$58,000",Residential - 2 Family ResOld style,34 x 142,1920,"1,825",4,2,0
"151 KAY, Buffalo",0903500002034000,90.35-2-34,"$101,000",6/20/2019,"$65,000",Residential - 2 Family ResOld style,33 x 175,1929,"2,248",4,2,1
"320 BIRD, Buffalo",0886800002029000,88.68-2-29,"$304,000",6/20/2019,"$257,000",Commercial - Apartment ,36 x 100,,,,,
"44 HENNEPIN, Buffalo",1124900002049000,112.49-2-49,"$55,000",6/19/2019,"$53,000",Residential - 1 Family ResOld style,34 x 125,1920,"1,344",2,1,1
"215 IDEAL, Buffalo",1124200003037000,112.42-3-37,"$87,450",6/17/2019,"$58,000",Residential - 1 Family ResOld style,30 x 134,1910,"1,656",3,1,0
"122 LONGNECKER, Buffalo",1125000001021000,112.50-1-21,"$57,000",6/17/2019,"$53,000",Residential - 2 Family ResOld style,30 x 115,1920,"1,906",6,2,0
"69 WEYAND, Buffalo",1238200001003000,123.82-1-3,"$85,000",6/17/2019,"$56,000",Residential - 2 Family ResOld style,30 x 105,1920,"2,388",6,2,0
"217 COMSTOCK, Buffalo",0798000003048000,79.80-3-48,"$78,000",6/17/2019,"$63,000",Residential - 1 Family ResOld style,32 x 0,1926,"1,906",3,1.5,0
"90 WINSPEAR WEST, Buffalo",0795400003023000,79.54-3-23,"$175,000",6/17/2019,"$109,000",Residential - 1 Family ResOld style,34 x 109,1925,"1,496",3,1,0
"138 HIGHLAND, Buffalo",1003800002052000,100.38-2-52,"$254,500",6/17/2019,"$342,000",Residential - 1 Family ResOld style,30 x 100,1889,"2,288",4,1.5,1
"854 SOUTH PARK, Buffalo",1225000001008000,122.50-1-8,"$90,000",6/17/2019,"$39,000",Residential - 1 Family ResOld style,30 x 125,1890,"1,434",2,1,1
"23 LINWOOD TERR, Buffalo",0897900003018000,89.79-3-18,"$195,000",6/17/2019,"$143,000",Residential - 2 Family ResOld style,35.53 x 124,1905,"2,549",6,2,0
"54 LANCASTER, Buffalo",1002300001003000,100.23-1-3,"$535,500",6/17/2019,"$447,000",Residential - 1 Family ResOld style,45 x 97,1906,"2,488",3,2.5,1
"65 MORELAND, Buffalo",1124100004017000,112.41-4-17,"$52,500",6/17/2019,"$55,000",Residential - 2 Family ResOld style,30 x 120,1920,"2,178",4,2,0
"454 OGDEN NORTH, Buffalo",1122700002012000,112.27-2-12,"$50,910",6/17/2019,"$59,000",Residential - 1 Family ResOld style,30 x 0,1900,"1,377",4,1,0
"129 STRAUSS, Buffalo",1112800005031000,111.28-5-31,"$15,000",6/14/2019,"$18,000",Residential - 1 Family ResOld style,30 x 139,1920,"1,111",2,1,0
"948 GLENWOOD, Buffalo",1013800001013000,101.38-1-13,"$54,000",6/14/2019,"$24,000",Residential - 1 Family ResOld style,33 x 120,1930,"1,105",5,1,0
"332 LAFAYETTE AVE, Buffalo",0888400006026000,88.84-6-26,"$236,400",6/14/2019,"$152,000",Residential - 2 Family ResOld style,37 x 130,1900,"3,106",6,2,0
"261 ADAMS, Buffalo",1115800004060000,111.58-4-60,"$16,000",6/14/2019,"$15,000",Residential - 1 Family ResOld style,30 x 107,1880,"1,112",4,1,0
"18 BOYD, Buffalo",0992700007035000,99.27-7-35,"$60,500",6/14/2019,"$125,000",Residential - 2 Family ResOld style,30 x 100,1880,"2,016",5,2,0
"51 SYMPHONY CIR, Buffalo",0997600004008000,99.76-4-8,"$790,000",6/14/2019,"$700,000",Residential - 1 Family ResOld style,62.5 x 174,1879,"3,594",5,3.5,1
"79 PEACE, Buffalo",1014900006055000,101.49-6-55,"$70,000",6/13/2019,"$41,000",Residential - 1 Family ResOld style,33 x 105,1931,"1,411",3,1,0
"255 BURGARD, Buffalo",1014900001038000,101.49-1-38,"$50,000",6/13/2019,"$29,000",Residential - 1 Family ResOld style,34 x 114,1917,"1,240",3,1,0
"377 MARILLA, Buffalo",1337000002008000,133.70-2-8,"$110,000",6/13/2019,"$91,000",Residential - 2 Family ResOld style,35 x 120,1930,"2,160",5,2,0
"349 WOODLAWN, Buffalo",1004200002010000,100.42-2-10,"$77,000",6/13/2019,"$54,000",Residential - Multiple resOld style,34 x 110,1920,"2,334",6,2,0
"1732 WILLIAM, Buffalo",1125800002028000,112.58-2-28,"$99,900",6/13/2019,"$157,000",Commercial - Det row bldg ,68.33 x 110,,,,,
"267 MINNESOTA, Buffalo",0797200006005000,79.72-6-5,"$221,450",6/13/2019,"$92,000",Residential - 2 Family ResOld style,40 x 150,1927,"2,802",6,2.5,0
"227 POTOMAC, Buffalo",0887500006001000,88.75-6-1,"$80,000",6/13/2019,"$44,000",Residential - 2 Family ResOld style,34 x 85,1915,"2,298",6,2,0
"15 PERSON, Buffalo",1123900002015000,112.39-2-15,"$45,000",6/13/2019,"$17,000",Residential - 1 Family ResOld style,30 x 132,1920,"1,089",2,1,0
"29 ERICSON, Buffalo",1012500003011000,101.25-3-11,"$24,000",6/12/2019,"$35,000",Residential - 1 Family ResOld style,30 x 100,1918,"1,354",3,1.5,0
"79 WEX, Buffalo",1016500006013000,101.65-6-13,"$32,000",6/12/2019,"$26,000",Residential - 2 Family ResOld style,30 x 107.3,1910,"1,356",4,2,0
"97 QUINCY, Buffalo",1123100005023000,112.31-5-23,"$15,000",6/12/2019,"$10,000",Residential - 1 Family ResOld style,30 x 100,1850,"1,264",3,1,0
"43 GRISWOLD, Buffalo",1232600006002000,123.26-6-2,"$120,000",6/12/2019,"$80,000",Residential - 1 Family ResOld style,33.33 x 120,1930,"1,584",4,1,0
"117 WHITEHALL, Buffalo",1337300004013000,133.73-4-13,"$153,611",6/11/2019,"$139,000",Residential - 1 Family ResOld style,35 x 115,1950,"1,094",4,1,0
"431 RILEY, Buffalo",1005000006030000,100.50-6-30,"$45,000",6/11/2019,"$43,000",Residential - 2 Family ResOld style,33 x 100,1900,"2,362",6,2,0
"174 ZELMER, Buffalo",1014200001009000,101.42-1-9,"$36,000",6/11/2019,"$41,000",Residential - 1 Family ResOld style,30 x 126,1928,"1,144",2,1,0
"1 GOULDING, Buffalo",1003400004001000,100.34-4-1,"$85,000",6/11/2019,"$61,000",Residential - 2 Family ResOld style,38.54 x 105,1909,"3,211",6,2,0
"301 OGDEN NORTH, Buffalo",1123500005013000,112.35-5-13,"$80,500",6/10/2019,"$59,000",Residential - 2 Family ResOld style,45 x 0,1906,"2,346",6,2,0
"421 ABBOTT, Buffalo",1333200008027000,133.32-8-27,"$135,000",6/10/2019,"$96,000",Residential - 1 Family ResOld style,35 x 100,1928,"1,080",3,1,0
"2431 DELAWARE, Buffalo",0786300002039000,78.63-2-39,"$2,625,000",6/10/2019,"$86,000",Commercial - Auto dealer ,50.12 x 162.6,,,,,
"75 WEBER, Buffalo",0908300001044000,90.83-1-44,"$81,000",6/10/2019,"$41,000",Residential - 2 Family ResOld style,30 x 133,1927,"2,096",6,2,0
"28 TOWNSEND, Buffalo",1116000001027000,111.60-1-27,"$35,000",6/10/2019,"$10,000",Residential - 1 Family ResOld style,30 x 100,1900,"1,028",3,1,0
"770 FERRY WEST, Buffalo",10030000020110004B,100.30-2-11./4B,"$160,000",6/7/2019,"$53,000",Commercial - ApartmentOther style,2 x 491.5,1973,572,1,1,0
"139 NEWBURGH, Buffalo",1012600008034000,101.26-8-34,"$61,960",6/7/2019,"$42,000",Residential - 1 Family ResOld style,32 x 95,1915,"1,598",3,2,0
"148 LONGNECKER, Buffalo",1125000001012000,112.50-1-12,"$37,000",6/7/2019,"$45,000",Residential - 2 Family ResOld style,30 x 115,1920,"1,763",4,2,0
"87 ELMER, Buffalo",0903200002020000,90.32-2-20,"$45,000",6/7/2019,"$41,000",Residential - 1 Family ResOld style,33 x 112,1922,"1,547",3,1,0
"496 AMHERST EAST, Buffalo",0902400008035000,90.24-8-35,"$55,000",6/7/2019,"$59,000",Residential - 1 Family ResOld style,35 x 102,1925,"1,868",3,1,0
"27 EDGEWOOD, Buffalo",1334000004005000,133.40-4-5,"$150,000",6/7/2019,"$124,000",Residential - 1 Family ResOld style,33 x 106,1925,"1,681",3,1,0
"17 NEWBURGH, Buffalo",1013300003021000,101.33-3-21,"$54,251",6/7/2019,"$40,000",Residential - 1 Family ResOld style,30 x 110,1925,"1,172",3,1,0
"58 THEODORE, Buffalo",1014900006015000,101.49-6-15,"$48,500",6/7/2019,"$36,000",Residential - 1 Family ResOld style,30 x 105,1925,"1,008",3,1,0
"303 NORTHLAND, Buffalo",1002600002026000,100.26-2-26,"$30,000",6/7/2019,"$53,000",Residential - 1 Family ResOld style,36 x 109,1920,"1,204",3,1,0
"484 GENESEE, Buffalo",1113300002028112,111.33-2-28.112,"$135,000",6/7/2019,"$133,000",Residential - 1 Family ResColonial,50 x 125,1999,"1,354",3,1.5,1
"347 DEWITT, Buffalo",0886700003085000,88.67-3-85,"$68,900",6/7/2019,"$48,000",Residential - 1 Family ResOld style,50 x 100,1880,"1,289",4,1,0
"202 STEVENS, Buffalo",0907800003036000,90.78-3-36,"$55,000",6/7/2019,"$35,000",Residential - 1 Family ResOld style,30 x 101,1910,"1,192",4,1,1
"361 ABBOTT, Buffalo",1332400009005000,133.24-9-5,"$133,000",6/7/2019,"$109,000",Residential - 1 Family ResOld style,39 x 90,1916,"1,128",3,1,0
"219 LAKEFRONT, Buffalo",1105900001014000,110.59-1-14,"$405,000",6/7/2019,"$299,000",Residential - 1 Family ResTownhouse,25 x 46.33,1985,"1,700",2,2.5,1
"97 CAMBRIA, Buffalo",1127500002005000,112.75-2-5,"$87,000",6/7/2019,"$94,000",Residential - 1 Family ResCape cod,43 x 114,1955,882,3,1,0
"779 ELMWOOD, Buffalo",1002200004030000,100.22-4-30,"$420,000",6/6/2019,"$270,000",Commercial - Det row bldg ,35.4 x 85,,,,,
"92 ALDRICH, Buffalo",1337900003011000,133.79-3-11,"$139,900",6/6/2019,"$113,000",Residential - 1 Family ResOld style,30 x 120,1915,"1,568",4,1,0
"64 OLCOTT, Buffalo",1333100005026000,133.31-5-26,"$140,000",6/6/2019,"$118,000",Residential - 1 Family ResOld style,35 x 168,1915,"1,200",3,1,0
"14 NORWAY, Buffalo",1006700002017000,100.67-2-17,"$82,000",6/6/2019,"$43,000",Residential - 2 Family ResOld style,31.5 x 100,1920,"2,376",6,2,0
"604 MOSELLE, Buffalo",0907800004013000,90.78-4-13,"$32,500",6/6/2019,"$36,000",Residential - 1 Family ResCape cod,45 x 100,1951,"1,235",4,1,0
"314 DAVEY, Buffalo",1123400005024000,112.34-5-24,"$78,000",6/5/2019,"$53,000",Residential - 2 Family ResOld style,30 x 134,1920,"2,184",5,2,0
"575 HUMBOLDT, Buffalo",1002700002006100,100.27-2-6.1,"$180,000",6/4/2019,"$295,000",Community Service - Religious ,269 x 234,,,,,
"427 HOYT, Buffalo",0886800003044000,88.68-3-44,"$62,500",6/4/2019,"$184,000",Residential - 2 Family ResOld style,34 x 105,1900,"2,356",7,2,0
"156 LONGNECKER, Buffalo",1125000001009000,112.50-1-9,"$77,500",6/3/2019,"$62,000",Residential - 2 Family ResOld style,30 x 115,1920,"2,596",5,2,0
"125 EDWARD, Buffalo",11122000100051003A,111.22-10-5.1/3A,"$215,000",6/3/2019,"$97,000",Commercial - ApartmentOther style,7 x 120,1900,"1,042",2,1,0
"506 WOODLAWN, Buffalo",1003500004048000,100.35-4-48,"$57,000",6/3/2019,"$40,000",Residential - 2 Family ResOld style,30 x 146,1900,"1,972",6,2,0
"405 CUMBERLAND, Buffalo",1333300002017000,133.33-2-17,"$191,000",5/31/2019,"$103,000",Residential - 2 Family ResOld style,35 x 120,1900,"2,311",6,2,0
"93 WYOMING, Buffalo",1012300002033000,101.23-2-33,"$62,000",5/31/2019,"$25,000",Residential - 2 Family ResOld style,40 x 118,1940,"1,408",4,2,0
"240 PURDY, Buffalo",1003300003001000,100.33-3-1,"$62,000",5/31/2019,"$40,000",Residential - 2 Family ResOld style,30 x 100,1910,"1,778",6,2,0
"849 DELAWARE, Buffalo",1005400003009000603,100.54-3-9./603,"$310,000",5/31/2019,"$104,000",Commercial - ApartmentOther style,87.83 x 290,1961,973,2,1.5,0
"484 CAMBRIDGE, Buffalo",0906300001005000,90.63-1-5,"$32,000",5/31/2019,"$37,000",Residential - 1 Family ResOld style,40 x 125,1924,"1,320",3,1,0
"75 OJIBWA, Buffalo",1106000001002200305,110.60-1-2.2/305,"$172,000",5/31/2019,"$197,000",Residential - 1 Family ResOther style,5 x 0,1991,883,1,1,0
"27 LINCOLN WOODS, Buffalo",0897000001028000,89.70-1-28,"$540,000",5/31/2019,"$499,000",Residential - 1 Family ResCape cod,60.71 x 111,1979,"1,687",3,2,1
"165 COMO, Buffalo",1333200003014000,133.32-3-14,"$166,282",5/30/2019,"$131,000",Residential - 1 Family ResOld style,32 x 112,1920,"1,276",4,2,0
"141 URBAN, Buffalo",1015300002001000,101.53-2-1,"$76,101",5/30/2019,"$43,000",Residential - 2 Family ResOld style,33.6 x 128,1912,"2,838",6,2,0
"72 SCHAUF, Buffalo",0907700005018000,90.77-5-18,"$85,159",5/30/2019,"$44,000",Residential - 1 Family ResOld style,35 x 95,1900,"1,040",3,1,0
"96 SOLDIERS, Buffalo",0896200002010000,89.62-2-10,"$590,000",5/30/2019,"$613,000",Residential - 1 Family ResOld style,80.94 x 184,1910,"3,546",4,2.5,2
"659 MCKINLEY PKWY, Buffalo",1333200003055000,133.32-3-55,"$265,000",5/30/2019,"$163,000",Residential - 1 Family ResOld style,39.92 x 121,1920,"1,639",3,1.5,1
"929 NORTHLAND, Buffalo",1012200004055000,101.22-4-55,"$40,000",5/30/2019,"$34,000",Residential - 1 Family ResOld style,33.33 x 105,1920,"1,406",3,1,0
"62 DUERSTEIN, Buffalo",1332700012017000,133.27-12-17,"$90,000",5/30/2019,"$89,000",Residential - 2 Family ResOld style,35 x 107,1905,"2,370",6,2,0
"66 DASH, Buffalo",1237800006011000,123.78-6-11,"$136,000",5/29/2019,"$74,000",Residential - 2 Family ResOld style,33 x 125,1915,"2,480",6,2,0
"574 MARILLA, Buffalo",1337200001053000,133.72-1-53,"$165,000",5/29/2019,"$86,000",Residential - 1 Family ResOld style,32 x 117,1925,872,3,1,0
"796 COLUMBUS PKWY, Buffalo",0996600008003000,99.66-8-3,"$370,000",5/28/2019,"$396,000",Commercial - Apartment ,47 x 132,,,,,
"59 MARINER, Buffalo",1007700008009000,100.77-8-9,"$350,000",5/28/2019,"$329,000",Residential - 2 Family ResOld style,25 x 100,1840,"2,118",3,2.5,0
"309 NORTH ST, Buffalo",100690000601100024,100.69-6-11./24,"$137,000",5/28/2019,"$81,000",Commercial - ApartmentOther style,4 x 630,1950,960,1,1,0
"46 OXFORD, Buffalo",1003100002012000,100.31-2-12,"$275,000",5/28/2019,"$265,000",Commercial - Apartment ,40 x 127,,,,,
"536 POTOMAC, Buffalo",0896900002025000,89.69-2-25,"$390,000",5/28/2019,"$311,000",Residential - 1 Family ResOld style,38 x 80,1900,"2,345",4,1.5,1
"79 ERB, Buffalo",0908300004034000,90.83-4-34,"$86,900",5/24/2019,"$56,000",Residential - 1 Family ResOld style,30 x 111,1919,"1,457",3,1,0
"21 BOYD, Buffalo",0992700006003000,99.27-6-3,"$90,200",5/24/2019,"$46,000",Residential - 1 Family ResOld style,30 x 100,1870,"1,304",2,1,0
"39 ALMA, Buffalo",0906400004014000,90.64-4-14,"$30,000",5/24/2019,"$41,000",Residential - 1 Family ResOld style,30 x 120,1920,"1,258",2,1,0
"369 FRENCH, Buffalo",1014600003030000,101.46-3-30,"$57,000",5/24/2019,"$30,000",Residential - 2 Family ResOld style,28.13 x 138,1920,"1,937",4,2,0
"43 ABBOTTSFORD, Buffalo",0886800005039000,88.68-5-39,"$132,000",5/24/2019,"$152,000",Residential - 1 Family ResOld style,32 x 138,1848,"1,093",2,1,0
"354 WOODSIDE, Buffalo",1335700002030000,133.57-2-30,"$203,000",5/24/2019,"$162,000",Residential - 1 Family ResOld style,40 x 110,1910,"1,984",4,1,1
"254 OGDEN NORTH, Buffalo",1124300004011000,112.43-4-11,"$82,000",5/23/2019,"$55,000",Residential - 3 Family ResOld style,30 x 134,1918,"2,223",5,3,0
"51 BARRY, Buffalo",0886800001039000,88.68-1-39,"$70,000",5/23/2019,"$115,000",Residential - 1 Family ResOld style,26 x 62,1900,"1,325",3,1,0
"1016 SYCAMORE, Buffalo",1017700003012000,101.77-3-12,"$85,000",5/22/2019,"$37,000",Residential - 2 Family ResOld style,54.69 x 110,1900,"2,586",5,2,0
"610 MAIN, Buffalo",1113800003009111601,111.38-3-9.111/601,"$214,500",5/22/2019,"$118,000",Commercial - ApartmentOther style,2 x 233,1993,754,1,1,0
"39 INDIAN CHURCH, Buffalo",1333400003008000,133.34-3-8,"$170,000",5/22/2019,"$92,000",Residential - 2 Family ResOld style,46 x 140,1900,"2,457",5,2,0
"520 DODGE, Buffalo",1005800003020000,100.58-3-20,"$92,145",5/21/2019,"$42,000",Residential - 2 Family ResOld style,30 x 111,1910,"2,438",6,2,0
"637 MINNESOTA, Buffalo",0797400004009000,79.74-4-9,"$110,000",5/21/2019,"$56,000",Residential - 1 Family ResOld style,30 x 130,1925,"1,650",3,1,0
"144 COVINGTON, Buffalo",0785200007001000,78.52-7-1,"$145,000",5/21/2019,"$128,000",Residential - 1 Family ResCape cod,39 x 130,1956,980,3,1,1
"1925 CLINTON, Buffalo",1233400007021000,123.34-7-21,"$120,000",5/21/2019,"$52,000",Residential - 2 Family ResOld style,51.6 x 120,1930,"3,080",5,2,0
"1514 CLINTON, Buffalo",1230600001012000,123.06-1-12,"$56,500",5/21/2019,"$48,000",Residential - 2 Family ResOld style,30 x 126.5,1919,"2,472",5,2,0
"311 NEWBURGH, Buffalo",0907400003040000,90.74-3-40,"$47,000",5/21/2019,"$62,000",Residential - 1 Family ResOld style,35.5 x 127.44,1920,"1,450",4,1.5,0
"1088 DELAWARE, Buffalo",10039000010320005H,100.39-1-32./5H,"$200,000",5/20/2019,"$89,000",Commercial - ApartmentOther style,2 x 215,1990,869,2,1,0
"170 POTOMAC, Buffalo",0887400004027000,88.74-4-27,"$125,500",5/20/2019,"$59,000",Residential - 1 Family ResOld style,25 x 155,1900,"1,154",3,1,0
"52 B ST, Buffalo",1008400004021000,100.84-4-21,"$50,000",5/20/2019,"$31,000",Residential - 2 Family ResOld style,32 x 142,1900,"2,510",5,2,0
"113 BRINTON, Buffalo",0793700004045000,79.37-4-45,"$170,000",5/20/2019,"$94,000",Residential - 1 Family ResCape cod,36 x 125,1950,"1,260",3,1.5,0
"98 TILLINGHAST, Buffalo",0788200006030000,78.82-6-30,"$265,000",5/17/2019,"$263,000",Residential - 1 Family ResOld style,50 x 140,1920,"1,568",4,2,1
"883 TIFFT, Buffalo",1333800003043000,133.38-3-43,"$143,000",5/17/2019,"$89,000",Residential - 2 Family ResOld style,36 x 0,1910,"2,024",4,2,0
"156 ROUNDS, Buffalo",0796600004021000,79.66-4-21,"$85,000",5/17/2019,"$74,000",Residential - 1 Family ResOld style,32 x 110,1928,"1,657",4,1.5,1
"345 MARTHA, Buffalo",0904300004007000,90.43-4-7,"$125,000",5/17/2019,"$68,000",Residential - 1 Family ResCape cod,51 x 88.19,1955,"1,248",4,1.5,0
"114 LONSDALE, Buffalo",1002600001020000,100.26-1-20,"$33,333",5/17/2019,"$66,000",Residential - 3 Family ResOld style,33.61 x 105,1910,"2,589",7,3,0
"61 EARL, Buffalo",1007400002060121,100.74-2-60.121,"$114,900",5/17/2019,"$98,000",Residential - 1 Family ResColonial,50 x 113.5,1999,"1,286",3,1.5,0
"2059 SENECA, Buffalo",1238100009020000,123.81-9-20,"$116,500",5/16/2019,"$123,000",Residential - 1 Family ResOld style,36.5 x 170,1920,"2,496",4,2,0
"74 CABLE, Buffalo",1235000001019000,123.50-1-19,"$75,000",5/16/2019,"$53,000",Residential - 1 Family ResOld style,30 x 100,1920,"1,525",4,1,0
"168 WECKER, Buffalo",0908100003021000,90.81-3-21,"$72,500",5/16/2019,"$46,000",Residential - 2 Family ResOld style,30 x 117,1900,"2,075",5,2,0
"96 STEVENSON, Buffalo",1238000001016000,123.80-1-16,"$196,000",5/16/2019,"$147,000",Residential - 2 Family ResOld style,37 x 102,1920,"2,496",6,2,0
"935 WALDEN, Buffalo",1016700002004000,101.67-2-4,"$81,200",5/16/2019,"$59,000",Residential - 2 Family ResOld style,30 x 150,1900,"2,440",6,2,0
"133 NORTHRUP WEST, Buffalo",0795400003077000,79.54-3-77,"$134,900",5/16/2019,"$99,000",Residential - 1 Family ResOld style,33 x 109,1925,"1,408",5,1,0
"44 FREEMAN, Buffalo",0904000007006000,90.40-7-6,"$88,000",5/16/2019,"$55,000",Residential - 2 Family ResOld style,31 x 142,1920,"2,182",4,2,0
"132 LAKEFRONT, Buffalo",1106800004001000703,110.68-4-1./703,"$710,000",5/15/2019,"$681,000",Residential - 1 Family ResOther style,3.5 x 317.67,2009,"1,939",2,2,1
"18 GESL, Buffalo",0896000001005000,89.60-1-5,"$45,500",5/15/2019,"$46,000",Residential - 2 Family ResOld style,36.5 x 125,1928,"1,656",4,2,0
"140 PARKVIEW, Buffalo",1332700012030000,133.27-12-30,"$147,000",5/15/2019,"$99,000",Residential - 2 Family ResOld style,32 x 109,1915,"1,540",3,2,0
"366 HUNTINGTON, Buffalo",0787500005003000,78.75-5-3,"$315,000",5/14/2019,"$319,000",Residential - 2 Family ResOld style,37.5 x 236,1924,"3,407",6,2,0
"40 B ST, Buffalo",1008400004024000,100.84-4-24,"$15,000",5/14/2019,"$22,000",Residential - 2 Family ResOld style,30 x 142,1900,"2,291",6,2,0
"224 ST LAWRENCE, Buffalo",0784000003038000,78.40-3-38,"$171,500",5/14/2019,"$160,000",Residential - 2 Family ResOld style,33 x 125,1928,"1,800",4,2,0
"10 DEWITT, Buffalo",0992600008017000,99.26-8-17,"$85,000",5/13/2019,"$41,000",Residential - 1 Family ResOld style,25 x 54,1900,"1,252",3,1,0
"103 ORLANDO, Buffalo",1234500001024000,123.45-1-24,"$2,000",5/13/2019,"$3,500",Vacant Land - Res vac land ,30 x 126,,,,,
"820 ELMWOOD, Buffalo",1002100003012000,100.21-3-12,"$1,700,000",5/13/2019,"$940,000",Commercial - Apartment ,41 x 174,,,,,
"67 THORNTON, Buffalo",0903200004019000,90.32-4-19,"$85,250",5/13/2019,"$52,000",Residential - 2 Family ResOld style,30 x 110,1925,"2,179",4,2,0
"304 WELLINGTON, Buffalo",0785000005008000,78.50-5-8,"$280,000",5/10/2019,"$237,000",Residential - 2 Family ResOld style,36 x 131,1927,"2,906",6,2,0
"82 MILFORD, Buffalo",1332400004013000,133.24-4-13,"$210,000",5/10/2019,"$153,000",Residential - 2 Family ResOld style,36 x 128,1928,"2,624",6,2,0
"133 ELMWOOD, Buffalo",1006900005024000,100.69-5-24,"$610,000",5/10/2019,"$590,000",Commercial - Apartment ,36 x 118,,,,,
"220 DELAVAN EAST, Buffalo",0897400005003000,89.74-5-3,"$76,000",5/10/2019,"$57,000",Residential - 2 Family ResOld style,35 x 120,1920,"2,646",5,2,0
"341 LINWOOD AVE, Buffalo",1003900002018000,100.39-2-18,"$800,000",5/10/2019,"$982,500",Residential - 1 Family ResOld style,60 x 185,1910,"6,738",7,8.5,0
"28 FENNIMORE, Buffalo",0903300004013000,90.33-4-13,"$55,500",5/10/2019,"$45,000",Residential - 1 Family ResOld style,33 x 119.57,1920,"1,086",4,1,0
"87 SIRRET, Buffalo",1332200002004000,133.22-2-4,"$150,000",5/10/2019,"$60,000",Residential - 1 Family ResOld style,32 x 100,1930,944,2,1,0
"109 DEPEW AVE, Buffalo",0788300004006000,78.83-4-6,"$494,700",5/10/2019,"$384,000",Residential - 1 Family ResOld style,56 x 182,1915,"3,359",4,3,1
"9 BRITTANY, Buffalo",1003000001040000,100.30-1-40,"$570,000",5/10/2019,"$368,000",Residential - 1 Family ResTownhouse,56.95 x 21,1970,"1,764",2,2.5,1
"288 HERKIMER, Buffalo",0888200005017000,88.82-5-17,"$99,000",5/10/2019,"$149,000",Residential - 1 Family ResOld style,35 x 113,1880,"2,109",4,2,0
"87 CANTWELL, Buffalo",1337100005016000,133.71-5-16,"$108,000",5/10/2019,"$102,000",Residential - 1 Family ResCape cod,52.5 x 105,1950,"1,114",2,1,0
"19 PENHURST, Buffalo",0891300002045000,89.13-2-45,"$650,000",5/9/2019,"$604,000",Residential - 1 Family ResColonial,70 x 150,1957,"3,308",4,3,1
"485 ASHLAND, Buffalo",1002100004032000,100.21-4-32,"$575,000",5/9/2019,"$495,000",Commercial - Apartment ,35 x 195,,,,,
"1728 SENECA, Buffalo",1235600001001000,123.56-1-1,"$330,000",5/9/2019,"$150,000",Commercial - Other Storage ,130.5 x 241.2,,,,,
"96 CUSTER, Buffalo",0796200001006000,79.62-1-6,"$125,000",5/9/2019,"$83,000",Residential - 1 Family ResOld style,30 x 111,1910,"1,316",3,1.5,0
"410 WYOMING, Buffalo",0906200003020000,90.62-3-20,"$47,000",5/8/2019,"$59,000",Residential - 1 Family ResOld style,30 x 140,1910,"1,277",2,1,0
"93 CRESCENT, Buffalo",0895800002020000,89.58-2-20,"$325,000",5/8/2019,"$281,000",Residential - 2 Family ResOld style,50 x 175,1915,"3,277",6,2,0
"226 HOYT, Buffalo",0888400007009000,88.84-7-9,"$107,000",5/8/2019,"$144,000",Residential - 1 Family ResOld style,30 x 89,1890,"2,193",4,1.5,0
"333 ELMWOOD, Buffalo",1006200001036000,100.62-1-36,"$407,500",5/7/2019,"$350,000",Commercial - Inn/lodge ,50 x 200,,,,,
"46 PULASKI, Buffalo",1233400004003000,123.34-4-3,"$115,000",5/7/2019,"$58,000",Residential - 2 Family ResColonial,60 x 85,1945,"1,602",4,2,0
